,DAUID,PRNAME
7434,10010530,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7435,10010530,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7474,10010531,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7475,10010531,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7594,10010522,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7595,10010522,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7674,10010524,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7675,10010524,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7754,10010526,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7755,10010526,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7794,10010527,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7795,10010527,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7834,10010528,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7835,10010528,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7874,10010529,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7875,10010529,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7914,10010505,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7915,10010505,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7954,10010506,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7955,10010506,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7994,10010507,Newfoundland and Labrador / Terre-Neuve-et-Labrador
7995,10010507,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8034,10010552,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8035,10010552,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8074,10010557,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8075,10010557,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8114,10010558,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8115,10010558,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8154,10010559,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8155,10010559,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8194,10010561,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8195,10010561,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8314,10010592,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8315,10010592,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8354,10010593,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8355,10010593,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8514,10010564,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8515,10010564,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8554,10010534,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8555,10010534,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8594,10010535,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8595,10010535,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8874,10010542,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8875,10010542,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8914,10010543,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8915,10010543,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8954,10010548,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8955,10010548,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8994,10010549,Newfoundland and Labrador / Terre-Neuve-et-Labrador
8995,10010549,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9034,10010550,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9035,10010550,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9074,10010551,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9075,10010551,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9114,10010544,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9115,10010544,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9154,10010545,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9155,10010545,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9194,10010546,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9195,10010546,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9234,10010547,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9235,10010547,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9274,10010532,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9275,10010532,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9314,10010533,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9315,10010533,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9354,10010567,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9355,10010567,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9394,10010568,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9395,10010568,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9434,10010569,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9435,10010569,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9474,10010570,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9475,10010570,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9514,10010571,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9515,10010571,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9834,10010685,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9835,10010685,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9874,10010686,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9875,10010686,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9914,10010687,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9915,10010687,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9954,10010688,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9955,10010688,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9994,10010689,Newfoundland and Labrador / Terre-Neuve-et-Labrador
9995,10010689,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10034,10010690,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10035,10010690,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10074,10010691,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10075,10010691,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10114,10010565,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10115,10010565,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10154,10010566,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10155,10010566,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10634,10010575,Newfoundland and Labrador / Terre-Neuve-et-Labrador
10635,10010575,Newfoundland and Labrador / Terre-Neuve-et-Labrador
11954,10010668,Newfoundland and Labrador / Terre-Neuve-et-Labrador
11955,10010668,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12034,10010670,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12035,10010670,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12274,10010712,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12275,10010712,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12314,10010713,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12315,10010713,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12354,10010714,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12355,10010714,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12394,10010715,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12395,10010715,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12434,10010716,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12435,10010716,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12474,10010676,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12475,10010676,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12554,10010678,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12555,10010678,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12594,10010679,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12595,10010679,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12634,10010680,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12635,10010680,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12674,10010681,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12675,10010681,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12714,10010682,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12715,10010682,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12754,10010683,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12755,10010683,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12794,10010684,Newfoundland and Labrador / Terre-Neuve-et-Labrador
12795,10010684,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14194,10010666,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14195,10010666,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14234,10010701,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14235,10010701,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14274,10010702,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14275,10010702,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14314,10010721,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14315,10010721,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14354,10010722,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14355,10010722,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14394,10010723,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14395,10010723,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14434,10010724,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14435,10010724,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14474,10010725,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14475,10010725,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14514,10010726,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14515,10010726,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14554,10010727,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14555,10010727,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14594,10010728,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14595,10010728,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14634,10010692,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14635,10010692,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14674,10010694,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14675,10010694,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14714,10010695,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14715,10010695,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14754,10010698,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14755,10010698,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14794,10010693,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14795,10010693,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14834,10010696,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14835,10010696,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14874,10010697,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14875,10010697,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14914,10010699,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14915,10010699,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14994,10010700,Newfoundland and Labrador / Terre-Neuve-et-Labrador
14995,10010700,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15034,10010769,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15035,10010769,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15074,10010770,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15075,10010770,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15114,10010771,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15115,10010771,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15154,10010708,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15155,10010708,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15194,10010709,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15195,10010709,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15234,10010710,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15235,10010710,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15274,10010711,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15275,10010711,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15314,10010703,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15315,10010703,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15354,10010704,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15355,10010704,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15394,10010705,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15395,10010705,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15434,10010706,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15435,10010706,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15474,10010707,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15475,10010707,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15514,10010717,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15515,10010717,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15554,10010718,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15555,10010718,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15594,10010719,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15595,10010719,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15634,10010720,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15635,10010720,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15674,10010760,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15675,10010760,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15714,10010761,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15715,10010761,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15754,10010762,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15755,10010762,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15794,10010763,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15795,10010763,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15914,10010767,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15915,10010767,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15954,10010768,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15955,10010768,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15994,10010772,Newfoundland and Labrador / Terre-Neuve-et-Labrador
15995,10010772,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16034,10010796,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16035,10010796,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16074,10010797,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16075,10010797,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16114,10010798,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16115,10010798,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16194,10010735,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16195,10010735,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16234,10010736,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16235,10010736,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16274,10010737,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16275,10010737,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16314,10010738,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16315,10010738,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16354,10010739,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16355,10010739,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16394,10010740,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16395,10010740,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16434,10010741,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16435,10010741,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16474,10010742,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16475,10010742,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16514,10010743,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16515,10010743,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16554,10010744,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16555,10010744,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16594,10010745,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16595,10010745,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16634,10010746,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16635,10010746,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16674,10010747,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16675,10010747,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16714,10010748,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16715,10010748,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16754,10010749,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16755,10010749,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16914,10010750,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16915,10010750,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16954,10010751,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16955,10010751,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16994,10010753,Newfoundland and Labrador / Terre-Neuve-et-Labrador
16995,10010753,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17034,10010754,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17035,10010754,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17074,10010752,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17075,10010752,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17114,10010755,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17115,10010755,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17154,10010756,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17155,10010756,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17194,10010729,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17195,10010729,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17234,10010730,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17235,10010730,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17274,10010731,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17275,10010731,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17314,10010732,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17315,10010732,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17354,10010733,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17355,10010733,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17394,10010734,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17395,10010734,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17514,10010781,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17515,10010781,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17634,10010802,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17635,10010802,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17834,10020104,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17835,10020104,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17874,10020105,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17875,10020105,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17914,10020106,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17915,10020106,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17954,10020107,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17955,10020107,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17994,10020108,Newfoundland and Labrador / Terre-Neuve-et-Labrador
17995,10020108,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18034,10020109,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18035,10020109,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18074,10020110,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18075,10020110,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18114,10020111,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18115,10020111,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18154,10020112,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18155,10020112,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18194,10020113,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18195,10020113,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18234,10020116,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18235,10020116,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18274,10020117,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18275,10020117,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18514,10010777,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18515,10010777,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18554,10010789,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18555,10010789,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18594,10010790,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18595,10010790,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18634,10010791,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18635,10010791,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18674,10010792,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18675,10010792,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18714,10010793,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18715,10010793,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18754,10010794,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18755,10010794,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18794,10010795,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18795,10010795,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18914,10010786,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18915,10010786,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18954,10010787,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18955,10010787,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18994,10010788,Newfoundland and Labrador / Terre-Neuve-et-Labrador
18995,10010788,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19154,10020095,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19155,10020095,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19194,10020096,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19195,10020096,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19234,10020097,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19235,10020097,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19274,10020099,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19275,10020099,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19314,10020100,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19315,10020100,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19474,10030060,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19475,10030060,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19514,10030061,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19515,10030061,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19554,10030062,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19555,10030062,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19594,10030063,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19595,10030063,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19634,10030064,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19635,10030064,Newfoundland and Labrador / Terre-Neuve-et-Labrador
19674,10030065,Newfoundland and Labrador / Terre-Neuve-et-Labrador
